,user,id,text,categories,notes
21,ty_pham-swann@brown.edu,22,"A recent Lancet report on climate change impacts is sobering: More people will be exposed to extreme weather over the next century than previously thought. We also just learned that 2015 is on pace to be the hottest year on record, following last year’s record-shattering global temperatures.",['0 No claim'],
22,ty_pham-swann@brown.edu,23,"Misguided environmental regulations, green obstructionism, and the NIMBY (not in my backyard) syndrome have combined to delay the construction of desperately needed new power plants and transmission lines. Needless economic regulation has prevented the development of more appropriate pricing structures.",['0 No claim'],
23,ty_pham-swann@brown.edu,24,h/t The Register ??? the UK MET Office has published a report which suggests the pause in global temperatures might continue for many years to come. Or the pause might not continue. They??re not really sure.,['5.1.1 No consensus'],
24,ty_pham-swann@brown.edu,25,"The timing of Chesapeake's Sierra Club funding is highly suspicious. From 2005-2007, Chesapeake Energy was the principal funder of an infamous anti-coal print ad campaign. The ads were all variations on a single theme: close-ups of coal-smeared faces next to the tagline ""Face It: Coal Is Filthy."" The most controversial of the ads depicted a young waifish girl with blue eyes. Chesapeake pulled the plug on the campaign in 2007, but only after Members of Congress from coal-heavy states objected to the gas industry's use of pseudo-public service announcements to try to win market share from the coal industry.",['0 No claim'],
25,ty_pham-swann@brown.edu,26,"For the project developer, optimizing project bankability and reducing cost of capital, improving analysis of technology selection and quality control, increasing predictability of performance, utilizing past track records and third party ratings, and maintaining an EPC framework on projects could be instrumental in increasing investor confidence and reducing the cost of capital.",['0 No claim'],
26,ty_pham-swann@brown.edu,27,* 20 Tables showing roughly bell-shaped distributions of answers:,['0 No claim'],
27,ty_pham-swann@brown.edu,28,"As for combined Arctic and Antarctic ice, there is always a natural balancing act going between the two. There has been a lot of recent media attention directed to overall melting conditions in the northern ice cap region which is attributed to global warming. The cause is that the Atlantic Ocean has been in its multi-decadal warming phase. Meanwhile, the southern ice cap has increased to record levels.","[""1.1.1 Antarctica isn't melting"", ""1.1.3 Arctic isn't melting"", ""2.1 It's natural cycles""]",
28,ty_pham-swann@brown.edu,29,EL NIO EVOLUTION COMPARISONS FOR NINO REGION SEA SURFACE TEMPERATURE ANOMALIES,['0 No claim'],
29,ty_pham-swann@brown.edu,30,"Volunteers mulch and add compost around trees; surround them with flowers and plants; keep tree beds watered and weeded; and, in some instances, install protective guards to help shield trees from the day-to-day hazards of city life―from foot traffic to accidental car strikes and other potential dangers.",['0 No claim'],
30,ty_pham-swann@brown.edu,31,"There are theories see e.g. the Milankovitch cycle but they have no quantitative predictive value and the actual causal mechanism is far from clear. So we do not know what the temperature outside should be, with and/or without CO 2. We do know historically that the Little Ice Age that ended around 200 years ago was tied for the coldest century long stretch of the entire Holocene that is, the coldest for the last 11,000 or so years (where it might surprise you to learn that the Holocene Optimum was between 1.5 and 2 C warmer than it is today, without CO 2).","['2.1.4 Past climate change', '5.1.3 Temperature is unreliable']",
31,ty_pham-swann@brown.edu,32,"Hudson Bay sea ice cover is the highest since 1992, and is the third highest on record.","[""1.1 Ice isn't melting""]",
32,ty_pham-swann@brown.edu,33,Maumbury Rings in Dorset (later reused as a Roman amphitheatre and then a Civil War fort).,['0 No claim'],
33,ty_pham-swann@brown.edu,34,Download the very readable 4.2Mb paper ???Testing an astronomically-based decadal-scale empirical harmonic climate model versus the IPCC (2007) general circulation climate models??,['0 No claim'],
34,ty_pham-swann@brown.edu,35,"I admire her colleague for his lack of political and intellectual pretension. But Cullen found it unacceptable, and proposed a remedy: ""If a meteorologist has an AMS Seal of Approval, which is used to confer legitimacy to TV meteorologists, then meteorologists have a responsibility to truly educate themselves on the science of global warming."" She elaborated: ""If a meteorologist can't speak to the fundamental science of climate change, then maybe the AMS shouldn't give them a Seal of Approval.""",['0 No claim'],
35,ty_pham-swann@brown.edu,36,"Despite being treated like 17th century ""witches,"" many scientists are reexamining the evidence and reversing their positionseven calling their previous views: ""quite a big mistake.""",['5.1.1 No consensus'],
36,ty_pham-swann@brown.edu,37,"The climate in the northern regions has never been milder since the last Ice Age than it was about 6000-7000 years ago. We still dont know whether the Arctic Ocean was completely ice free, but there was more open water in the area north of Greenland than there is today, says Astrid Lys, a geologist and researcher at the Geological Survey of Norway (NGU).","[""1.1.3 Arctic isn't melting""]",
37,ty_pham-swann@brown.edu,38,"Climategate, of course, casts serious doubt on much of the underlying data, as well. Those with a taste for dark humor will enjoy the reference in the EPA's response to comments (p.12) to ""the clear, transparent, and open procedures of the IPCC, CCSP, USGCRP, and NRC.""","['5.1.2 Data/proxies are unreliable', '5.3.2 Science is conspiracy']",
38,ty_pham-swann@brown.edu,39,Keep up the awesome works guys I've included you guys to my blogroll.,['0 No claim'],
39,ty_pham-swann@brown.edu,40,"From Rwanda and Liberia to the Sudan and Uganda, we see every day the horrible effects of war crippled men, widowed women, orphaned children, and frail old people, without hands and legs, with slash marks all over their bodies. They struggle as scavengers, collapse and perish from hunger and disease, while politicians get rich.",['0 No claim'],
40,ty_pham-swann@brown.edu,41,"In Italy many choices sullenergia, you would not be accepted dallopinione public, if it were not for the theory of greenhouse gases to make them plausible. For example, the Minister THE ENVIRONMENT A. Pecoraro Scanio has provided a plan of 100 million Euros for solar energy. Unfortunately, solar energy costs 10 to 20 times more than coal and nuclear power.",['4.1.1 Policy increases costs'],
41,ty_pham-swann@brown.edu,42,"The claims against The Australian are not just baseless, theyre claims any half decent rag ought to be ashamed for even mentioning. Golly, The Australian not only prints baseless smear articles in favor of establishment opinions, they sometimes print rational dialogue in response. The crime! The saddest thing is that that places the lonesome Australian closer to the center, but far to the right of all the rubber-stamping PR machines who only put out the government approved propaganda.",['0 No claim'],
42,ty_pham-swann@brown.edu,43,"A breakthrough came the following spring, when Tony Tyler, head of the International Air Transport Association, met with Mike and made it clear that the industry would support a robust market-based measure in ICAO.",['0 No claim'],
43,ty_pham-swann@brown.edu,44,basically angling for the largest and longest operation he could get.,['0 No claim'],
44,ty_pham-swann@brown.edu,45,He said he would like to see scientists settle the question of what would happen to sea-level rises and the polar icecaps as a result of climate change.,['0 No claim'],5.1?
45,ty_pham-swann@brown.edu,46,"Similarly, the 1994 federal appeals court decision cited above (Pfizer v. Giles) found that the mere pendency of a lawsuit against a company for belonging to, and contributing to, a trade association contravened the First Amendment because the lawsuit chilled participation in and contributions to that association. Accordingly, it issued a writ of mandamus dismissing the suit.",['0 No claim'],
46,ty_pham-swann@brown.edu,47,"Pelejero et al . report ""there is no notable trend toward lower ?? 11 B values"" over the 300-year period investigated. Instead, they say that ""the dominant feature of the coral ?? 11 B record is a clear interdecadal oscillation of pH, with ?? 11 B values ranging between 23 and 25 per mil (7.9 and 8.2 pH units),"" which ""is synchronous with the Interdecadal Pacific Oscillation."" Furthermore, they calculated changes in aragonite saturation state from the Flinders pH record that varied between ~3 and 4.5, which values encompass ""the lower and upper limits of aragonite saturation state within which corals can survive."" Despite this fact, they report that ""skeletal extension and calcification rates for the Flinders Reef coral fall within the normal range for Porites and are not correlated with aragonite saturation state or pH ."" What it means",['0 No claim'],needs another sentence
47,ty_pham-swann@brown.edu,49,"Carrington's problem is that the UNFCCC document linked only asserts that temperature rises above 2C would be dangerous. There is no citation. Fortunately a more complete record of the target is to be found in this recent paper from the Potsdam Institute, which notes that the 2C target can be viewed in many ways, few of which are truly satisfactory. The authors conclude that the target actually has more to do with politics than science.",['5.2.3 Politicians are biased'],
48,ty_pham-swann@brown.edu,50,NRO's Manzi Mischaracterizes Global Warming Debate,['0 No claim'],
49,ty_pham-swann@brown.edu,51,EDF’s analysis finds that at least 230 fleets have made commitments to deploy or have deployed zero-emission trucks — a twelvefold increase since 2017.,['0 No claim'],
50,ty_pham-swann@brown.edu,52,"When I grew up, there were times when it wasn’t safe to drive to school after a storm because traffic lights were out and debris littered the road. Or when we had to stay home because we knew the school would lose power.",['0 No claim'],
51,ty_pham-swann@brown.edu,53,"“The Clean Power Plan will reduce dangerous carbon pollution while creating good jobs, boost the economy and protect public health right here, right now in Illinois. Senator Kirk's vote today keeps those benefits on the table for Illinoisans now and in the future. I hope that today's vote forecasts things to come for Senator Kirk.”",['0 No claim'],
52,ty_pham-swann@brown.edu,54,"Second, their claim that Alaska has ???warmed by 4 to 7 degrees Fahrenheit?? is not true. The largest trend to 2009 in the Alaska temperatures is 1954-2009, which is 3.24 degrees.",['5.1.3 Temperature is unreliable'],
53,ty_pham-swann@brown.edu,55,"Not ""world government,"" wildly unpopular among knuckle-draggers in America, but a rebranded alternative, more nuanced and sophisticated, would creep in on little cat feet before the Neanderthals knew what was up.",['0 No claim'],
54,ty_pham-swann@brown.edu,56,"According to that index, in 2002 the influence of greenhouse gases on surface temperatures was 1.166 of that in 1990. In 2013 the index is 1.338. This represents an increase in the warming index of 0.172, or 15% during a period in which the atmosphere has not warmed. In 1997 the index was 1.089. Thus, in 2013 the index was 0.249 larger than in 1997, or the calculated greenhouse effect was 23% greater than in 1997 over a period in which the surface has not warmed!",['5.1.2 Data/proxies are unreliable'],
55,ty_pham-swann@brown.edu,57,"We have also committed to eating fewer meals with meat and to eliminate all beef from the family diet. Between the environmental devastation from factory farms and the large carbon footprint that comes from the beef industry, my family decided this was the right commitment for us to make.",['0 No claim'],
56,ty_pham-swann@brown.edu,58,"More immediately, the theme of close cooperation between Israeli and Palestinian security officials is echoed by senior figures on both sides. United by a common enemy (i.e., Hamas), the two longtime adversaries appear to be building a de facto alliance even before the old epithets go out of style. My military intelligence source expressed concern that the failure to reach agreement with moderate Palestinians on a future state could bring vital Israeli facilities within range of hostile fire: ""We are very close to a Palestinian state, so we cannot fail again. If we get two rockets every day at Ben Gurion, we are done.""",['0 No claim'],
57,ty_pham-swann@brown.edu,59,"A window into ice ages past, Finzel Swamp is located in a frost pocket, an area where the surrounding hills capture moisture and cold air that conspire to create a landscape more reminiscent of habitat found much further north in Canada.",['0 No claim'],perhaps
58,ty_pham-swann@brown.edu,60,Stay informed,['0 No claim'],
59,ty_pham-swann@brown.edu,61,"Fast forward to late 2017, and Whelchel and the Conservancy are training 250 professionals to work with the Massachusetts communities participating in the program, known as the Municipal Vulnerability Preparedness (MVP) program.",['0 No claim'],
60,ty_pham-swann@brown.edu,62,"When you sign up, you’ll become a member of NRDC’s Activist Network. We will keep you informed with the latest alerts and progress reports.",['0 No claim'],
61,ty_pham-swann@brown.edu,63,"To date, in what Norby and Iversen describe as ""the longest observation period for N dynamics in a non-expanding deciduous forest exposed to elevated CO 2 ,"" there is no indication of nitrogen limiting, or even beginning to limit, the ability of atmospheric CO 2 enrichment to enhance tree productivity. Reference",['3.3 CO2 is not a pollutant'],
62,ty_pham-swann@brown.edu,64,"So there are two aspects to Hansen??s assertion that Scenario B was ???more plausible?? ??? the handling of CFCs in near time and exponential vs linear in deeper time. In the vituperative debate in 1998 and thereafter, no one seems to have focused on the impact of CFC doubling. Does it make sense to say that doubling CFC11 and CFC12 concentrations as a way of modeling the OTGs is ???Business as Usual??? Not doubling these concentrations may very well be ???more plausible??. Indeed, as events turned out, it seems that it was ???more plausible?? not to double CFC concentrations.",['5.1.4 Models are unreliable'],?
63,ty_pham-swann@brown.edu,65,"The climate record indicates a solar effect of this kind. One example is the record of the sun's magnetism and reconstructed land temperatures of the Northern Hemisphere over 240 years (Figure 3).13 If changes in the sun's magnetism track changes in the sun's brightness, over these long time scales, they might explain the high correlation of solar magnetism with terrestrial temperature change. Climate models suggest that changes of roughly 0.5% in the sun's brightness would produce global average temperature changes of about 0.5 C over a century or so.14","[""2.1.1 It's the sun""]",
64,ty_pham-swann@brown.edu,66,"Results of a new study indicate a ""need for better process representations and representation of natural spatial heterogeneity due to local environment (topography, vegetation and soil properties) in Earth system models to generate a realistic variation of regional scale AL thickness, which could reduce the existing uncertainty in predicting permafrost carbon-climate feedbacks""",['5.1.4 Models are unreliable'],
65,ty_pham-swann@brown.edu,67,"What we demonstrated in our JGR paper earlier this year is that when cloud changes cause temperature changes, it gives the illusion of positive cloud feedback even if strongly negative cloud feedback is really operating!","[""2.1 It's natural cycles""]",
66,ty_pham-swann@brown.edu,68,"Chlorofluorocarbons were primarily used as refrigerants, propellants, and in fire control systems. They were uniquely well-suited to these applications. CFCs are non-toxic, chemically inert, non-corrosive, non-flammable and roughly four times heavier than air. Their physical characteristics makes them ideal refrigerants. Because they are so chemically inert, non-toxic, and non-flammable, they are excellent aerosol propellants. They are inexpensive to produce and easy and safe to handle. CFCs made modern refrigeration and air conditioning affordable and widely available.",['0 No claim'],
67,ty_pham-swann@brown.edu,69,"Indian monsoon rainfall has dropped since the 50s, but climate change should increase it. Whats going on?",['1.7 Extremes not increasing'],
68,ty_pham-swann@brown.edu,70,"When looking at the temperature trends , it is clear that global warming has actually been missing for the last 15 years. This has definitely been the case of the continental U.S. as the graph on the left depicts.",['1.4 Hiatus in warming'],
69,ty_pham-swann@brown.edu,71,The White Trail is a 0.1-mile connector trail. This short trail connects the Orange Trail to the Red and/or Blue Trails. It can also be used to make the Blue-Red loop slightly shorter in total distance.,['0 No claim'],
70,ty_pham-swann@brown.edu,72,"KUSI-TV meteorologist, Weather Channel founder, and iconic weatherman John Coleman will present these findings in a one-hour special airing on KUSI-TV on January 14 at 9 p.m. EST. A related report will be made available on the Internet at 6 p.m. EST on January 14 at www.kusi.com.",['0 No claim'],
71,ty_pham-swann@brown.edu,73,Defense is one such area; space is another. And the two are closely related.,['0 No claim'],
72,ty_pham-swann@brown.edu,74,And that might just change the whole conversation.,['0 No claim'],
73,ty_pham-swann@brown.edu,75,"A version of this story was posted in Forbes Online on October 29, 2013.",['0 No claim'],
74,ty_pham-swann@brown.edu,76,"[T]he DEIS appears to lack certain critical information about the proposed project and mitigation, and there may be aspects of the environmental modeling and impact analysis which would benefit from being corrected, strengthened, or revised. Because of this, the DEIS likely underestimates impacts and risks to groundwater and surface water flows, water quality, wetlands, aquatic resources, and air quality from the Pebble Project. Inclusion of the additional information and analyses we have identified, or further explanation in the EIS of these issues, is essential to more fully evaluate and disclose the potential project impacts and identify practicable measures to mitigate those impacts.",['0 No claim'],
75,ty_pham-swann@brown.edu,77,Eliza Merrylees Phone: 802-613-7347 Email: eliza.merrylees@tnc.org,['0 No claim'],
76,ty_pham-swann@brown.edu,78,"Rising demand, increasingly expensive-and-damaging-to-extract energy, those are deadly fundamentals.",['0 No claim'],
77,ty_pham-swann@brown.edu,79,"And now the stakes have been raised considerably—by none other than the USFWS itself. In early November, Reuters reported that officials from the agency appeared to be “moving in [the] direction” of recommending the delisting of the park’s grizzlies and have already entered into discussions with the three states in which Yellowstone sits, as well as with tribal leaders, regarding “a plan to manage grizzlies without federal protection.”",['0 No claim'],
78,ty_pham-swann@brown.edu,80,"U.S.-Cuba ocean agreement: A breakthrough for marine science, protection",['0 No claim'],
79,ty_pham-swann@brown.edu,81,Kate Frazer is an Associate Director of Marketing and Communications for the New York division.,['0 No claim'],
80,ty_pham-swann@brown.edu,82,"Despite its oft-quoted ""likely mostly"" conclusion mentioned earlier, the NRC was also quite clear in expressing the extent of the uncertainty remaining in the science when it comes to assessing the influence of humans on the climate.",['5.1.1 No consensus'],
81,ty_pham-swann@brown.edu,83,"What's missing from the PBS response is an outright explanation for its lack of skeptic scientist guests, and Ombudsman Getler's ""danger of establishing a false equivalence"" observation was a head-snapper for me because it mimics Society of Environmental Journalists board director Robert McClure's opinion in his October 16th reply to me at his web page here (comment #7).",['0 No claim'],5.2?
82,ty_pham-swann@brown.edu,84,Photograph taken at the Great Barrier Reef in April 2006 by Dave.,['0 No claim'],
83,ty_pham-swann@brown.edu,85,"The spiritual yet down-to-earth Mr. Modi knows that 300 million Indians still have no electricity. His priority is to turn on the lights all over India. In Bihar, four homes in five are still lit by kerosene.",['0 No claim'],
84,ty_pham-swann@brown.edu,86,"When you sign up, you’ll become a member of NRDC’s Activist Network. We will keep you informed with the latest alerts and progress reports.",['0 No claim'],
85,ty_pham-swann@brown.edu,87,"It is impossible from Solomon et al.'s analysis to know what went on prior to 1980, so, for lack of any other guidance, I'll assume that no changes took place (or, that the net change was zero) from 1950 to 1980. I'll then back the 15% warming influence from stratospheric water vapor changes since 1980 out of the ""corrected"" data in Figure 2. The warming I am left with is shown in Figure 3.",['2.2.4 Water vapour'],
86,ty_pham-swann@brown.edu,88,"Weather was the biggest wild card—the temperature at the first day’s morning meeting location was a bracing 20 degrees. Regular changes in weather occured during the two weeks, with rain, snow and sleet showers experienced during the first week.",['0 No claim'],
87,ty_pham-swann@brown.edu,89,"Two years later, in the publication The Moral Case for Fossil Fuels, White attacked climate science as a biased indictment of carbon emissions from fossil fuels.",['5.2.5 Scientists are biased'],
88,ty_pham-swann@brown.edu,90,"From the activist wing of the Society, some members form the Committee on Preservation of Natural Areas for Ecological Study, led by Victor Shelford, a scientist who helped establish ecology as a distinct field of study.",['0 No claim'],
89,ty_pham-swann@brown.edu,91,"We’ll send regular updates about developments in technology, science and the environment.",['0 No claim'],
90,ty_pham-swann@brown.edu,92,16. Will global warming cause the spread of infectious diseases?,['0 No claim'],
91,ty_pham-swann@brown.edu,93,"Wind Power Prices Rising, Defying Predictions of Renewable Power Apologists",['4.1.1 Policy increases costs'],
92,ty_pham-swann@brown.edu,94,"If I had done what Schmidt described, then I would agree that his complaint would be justified. But as Lucia observed, Schmidt saying something is so doesnt make it so. I did not directly refer to or mention his May 11 criticism of my May 6 emulation of the regional chronology. If Schmidt had directly quoted my words, this would have been evident to RC readers. Nonetheless, in order to avoid any misunderstanding on this point, I added a clarifying sentence to the text of the post itself on July 2 as follows:",['0 No claim'],
93,ty_pham-swann@brown.edu,95,"Washington, D.C., February 2, 2005President Bush's State of the Union address tonight will expound his vision of an ""Ownership Society,"" in which all Americans become invested in their own future success and prosperity. White House observers are familiar with the President's emphasis on tax and Social Security reform as a means of empowering average Americans.",['0 No claim'],
94,ty_pham-swann@brown.edu,96,"Last winter had the largest sea ice extent in the last six years, the largest North American snow extent on record, and the second largest northern hemisphere snow extent on record. On one day in February, at least 49 US states had snow cover. Northern hemisphere albedo was very high last winter.",['1.3 Weather is cold'],
95,ty_pham-swann@brown.edu,97,"Before the DOE report came out, Dow, guided by its public relations team, had characterized itself as ""in the middle"" on this issue. All last year, the company had repeatedly declared itself a ""proponent of fair and free trade,"" stating that it ""opposes policies that arbitrarily limit reasonable experts of natural gas to free-trade agreement countries or that provide for unlimited global exports."" As George Blitz, vice president of energy and climate change and a corporate vice president, claimed as late as October, it just wanted a balanced public policy.",['0 No claim'],
96,ty_pham-swann@brown.edu,98,"According to the radiative convective equilibrium concept, the equation for determining global average surface temperature of the planet is",['0 No claim'],
97,ty_pham-swann@brown.edu,99,"There is a large divergence prior to 1900, but for the twentieth century the warming trend is not excessively increased. Further, the warming trend from around 1900 is about half of that in the GISTEMP Southern Hemisphere or global anomalies. Looked in this way Mearns would appear to have a point. But there has been considerable downward adjustment of the early twentieth century warming, so Homewoods claim of cooling the past is also substantiated. This might be the more important aspect, as the adjusted data makes the warming since the mid-1970s appear unusual.",['2.1.4 Past climate change'],
98,ty_pham-swann@brown.edu,100,"An interview with General David Petraeus. as a black man I cannot be racist "" ""Just had a visit from two uniformed officers. Reason? My firearms renewal, but more significantly this blog. It seems that my crappy little corner of the blogosphere has come to the attention of the police, and they don't like it."" James Travers: Code Talker Comments are open for yours.",['0 No claim'],
99,ty_pham-swann@brown.edu,101,<4141> Minns/Tyndall Centre:,['0 No claim'],
100,ty_pham-swann@brown.edu,102,Take Route 7 to Cornwall Bridge; continue south on 7 one mile to Route 45. Turn left on Route 45 and drive 4.7 miles to Route 341; turn right (west). Drive 5 miles to South Road; turn left.,['0 No claim'],
101,ty_pham-swann@brown.edu,103,"Or, to look at it in yet another way, were being told that, while surface temperatures are no longer warming, the oceans to depth continue to warmyet the warming is not occurring in the largest ocean basin, the Pacific, and the North Atlantic is showing evidence of cooling.",['1.5 Oceans are cooling'],
102,ty_pham-swann@brown.edu,104,"(However, the 2000 paper above only uses the ""gg"" or ""qq*"" initial states; the mixed ""gq"" initial state (from the rumor) is omitted in the 2000 paper, for reasons that seemed to be a negligence to me.)",['0 No claim'],
103,ty_pham-swann@brown.edu,105,"Meanwhile, about 30 of us gathered next to the Greenpeace truckapparently Greenpeace prefers motorized vehicles to bullock cartsfor a counterdemonstration to ""Celebrate Coal and Keep Energy Affordable!"" The Greenpeace truck had a big solar panel, but it was covered by at least three inches of snow, so the activists had to run a generator instead to power the truck's PA system.",['0 No claim'],?
104,ty_pham-swann@brown.edu,106,"This entire report assumes global warming to exist, assumes it is man-made, and assumes its future levels are as large or larger than those projected in the last IPCC report. The first four or five pages merely restate this finding with no new evidence. The majority of the report then takes this assumption, cranks it through various models, and generates scary potential scenarios about the US and it would be like if temperatures really rose 11F over the next century.","['5.1.4 Models are unreliable', '5.2.3 Politicians are biased']",
105,ty_pham-swann@brown.edu,107,"because they may see it as a licence to engage in premarital sex,""",['0 No claim'],
106,ty_pham-swann@brown.edu,108,"People who believe that smart meters are doing substantial damage are right to share their views, as aggressively as they choose. We have listened hard, reexamined the evidence and decided that the case for smart meters is still very much stronger than the case against them. Those who still don’t agree will rightly keep pushing us. We promise to keep listening, keep reexamining the evidence and remain ready to alter our position if we think the evidence warrants it.",['0 No claim'],
107,ty_pham-swann@brown.edu,109,He'll Run America Like They Run Their Party,['0 No claim'],
108,ty_pham-swann@brown.edu,110,"SUBSIDIES: There was an interesting article a couple weeks ago from Washington Monthly that I meant to blog on, but, as is the case 99% of the time I think that, didn’t. I don’t agree with much of the analysis, but think it’s a good faith effort to explore the issue. More broadly, the “subsidy conversation"" is gaining more traction politically and in the media – but as expected, has quickly become partisan, polemic and overly simplistic on all sides (for just one example, check out the comments thread at this article). It’s a much, much bigger and more nuanced conversation that I’ve tried to touch on in several blogs, and through fact sheets on innovation and deployment. I find that certain questions tend to go unanswered, which is unfortunate, as addressing them could really illuminate the debate: 1) why do we have subsidies in the first place (IMO: to address market failures and barriers that are stifling socially optimal levels of investment) 2) how can they be most effective (IMO: by providing clear and stable support mechanisms that encourage diversity in innovation) and, 3) importantly, when should they end (IMO: when technologies mature and a level-playing field exists in a competitive marketplace). Much more stuff is available on this topic (see my previous post for a dozen links) and more wonky but still awesome (alright to some) academic literature here, here, here and here. I really should write more on this topic.",['0 No claim'],
